exp,tf,rank,frac,fam_rank,size,max_jac,top_nb,miss,fam_miss
DataSet_01_238,NFYB,67.0,0.08746736292428199,1.0,40,0.46511627906976744,NFYC,False,False
DataSet_01_244,ETS1,24.0,0.031331592689295036,2.0,216,0.2111111111111111,ETS2,False,True
DataSet_01_246,TLX1,33.0,0.04308093994778068,2.0,10,0.09523809523809523,GFI1B,False,True
DataSet_01_247,GATA6,47.0,0.06135770234986945,1.0,85,0.12690355329949238,GATA4,False,False
DataSet_01_248,SMAD2,138.0,0.1801566579634465,1.0,108,0.3686635944700461,SMAD3,True,False
DataSet_01_255,YBX1,387.0,0.5052219321148825,6.0,92,0.08620689655172414,FOXM1,True,True
DataSet_01_256,YBX1,22.0,0.028720626631853787,2.0,92,0.08620689655172414,FOXM1,False,True
DataSet_01_257,YBX1,516.0,0.6736292428198434,6.0,92,0.08620689655172414,FOXM1,True,True
DataSet_01_258,YBX1,57.0,0.07441253263707572,1.0,92,0.08620689655172414,FOXM1,False,False
DataSet_01_260,SOX4,18.0,0.02349869451697128,1.0,24,0.075,PML,False,False
DataSet_01_261,NFKB2,53.0,0.06919060052219321,2.0,77,0.3333333333333333,RELB,False,True
DataSet_01_267,FOXO3,160.0,0.20887728459530025,2.0,197,0.21065989847715735,FOXO1,True,True
DataSet_01_269,SIX4,438.0,0.5718015665796344,4.0,8,0.15384615384615385,MKX,True,True
DataSet_01_277,SALL4,194.0,0.25326370757180156,1.0,21,0.10714285714285714,FEZF1,True,False
DataSet_01_280,ESRRA,108.0,0.1409921671018277,2.0,49,0.18181818181818182,ESRRG,True,True
DataSet_01_281,MSX1,114.0,0.14882506527415143,3.0,27,0.1388888888888889,LHX3,True,True
DataSet_01_282,IRF7,245.0,0.3198433420365535,5.0,34,0.3148148148148148,IRF5,True,True
DataSet_01_283,AHR,24.0,0.031331592689295036,1.0,194,0.1688888888888889,ARNT,False,False
DataSet_01_295,TFAP4,354.0,0.4621409921671018,4.0,37,0.08208955223880597,SMAD2,True,True
DataSet_01_299,SOX7,96.0,0.12532637075718014,4.0,6,0.09090909090909091,SOX18,True,True
