exp,tf,in_filtered_279,profile_id,biosample,knock_method,platform,own_logfc,own_gene_measured,regulon_size,has_self_edge,self_edge_weight,frac_regulon_default,n_studymates,max_jaccard,base_rate10,base_rate5,self_edge_sign_decision,ulm_unmasked_frac,ulm_unmasked_hit10,ulm_unmasked_hit5,ulm_masked_frac,ulm_masked_hit10,ulm_masked_hit5,ulm_masked_symmetric_frac,ulm_masked_symmetric_hit10,ulm_masked_symmetric_hit5,ulm_noselfedge_frac,ulm_noselfedge_hit10,ulm_noselfedge_hit5,ulm_noother_frac,ulm_noother_hit10,ulm_noother_hit5,propagated_unmasked_frac,propagated_unmasked_hit10,propagated_unmasked_hit5,propagated_masked_frac,propagated_masked_hit10,propagated_masked_hit5
DataSet_02_017,BACH1,False,ENCSR190RZZ,K562,CRISPRi,-,0.0,True,15,False,,0.4,0,0.15,0.17940199335548174,0.10520487264673312,,0.8537859007832899,False,False,0.8537859007832899,False,False,0.8942558746736292,False,False,0.8537859007832899,False,False,0.8537859007832899,False,False,0.3668407310704961,False,False,0.3668407310704961,False,False
DataSet_02_188,BACH1,False,ENCSR793ISR,K562,siRNA,-,0.0,True,15,False,,0.4,0,0.15,0.17940199335548174,0.10520487264673312,,0.8825065274151436,False,False,0.8825065274151436,False,False,0.8825065274151436,False,False,0.8825065274151436,False,False,0.8825065274151436,False,False,0.4321148825065274,False,False,0.4321148825065274,False,False
DataSet_01_009,BCL11A,False,GSE13284,CD34-derived erythroid progenitors,siRNA,GPL570,-0.10769,True,15,False,,0.26666666666666666,0,0.15151516,0.09050772626931568,0.04194260485651214,,0.6331592689295039,False,False,0.6331592689295039,False,False,0.6148825065274152,False,False,0.6331592689295039,False,False,0.6331592689295039,False,False,0.758485639686684,False,False,0.7963446475195822,False,False
DataSet_03_024,BCL6,False,GSE31912,MCF7,siRNA,GPL570,-0.6081177,True,99,True,-1.0,0.494949494949495,77,0.14965986,0.10631229235880399,0.04318936877076412,PMID,0.283289817232376,False,False,0.22193211488250653,False,False,0.2310704960835509,False,False,0.2206266318537859,False,False,0.2819843342036554,False,False,0.6684073107049608,False,False,0.7389033942558747,False,False
DataSet_03_025,BCL6,False,GSE45838,OCI-Ly7 DLBCL,siRNA,GPL570,-0.3602478,True,99,True,-1.0,0.494949494949495,0,0.14965986,0.10631229235880399,0.04318936877076412,PMID,0.23237597911227154,False,False,0.20496083550913838,False,False,0.14882506527415143,False,False,0.20365535248041775,False,False,0.23368146214099217,False,False,0.38903394255874674,False,False,0.5691906005221932,False,False
DataSet_03_026,BCL6,True,GSE45838,Pfeiffer DLBCL,siRNA,GPL570,-1.080475,True,99,True,-1.0,0.494949494949495,0,0.14965986,0.10631229235880399,0.04318936877076412,PMID,0.0026109660574412533,True,True,0.0013054830287206266,True,True,0.01174934725848564,True,True,0.0013054830287206266,True,True,0.0026109660574412533,True,True,0.006527415143603133,True,True,0.031331592689295036,True,True
DataSet_03_027,BCL6,False,GSE77053,U87,siRNA,GPL10558,-0.4753435,True,99,True,-1.0,0.494949494949495,0,0.14965986,0.10631229235880399,0.04318936877076412,PMID,0.2754569190600522,False,False,0.23237597911227154,False,False,0.30156657963446476,False,False,0.23368146214099217,False,False,0.2754569190600522,False,False,0.20757180156657964,False,False,0.30809399477806787,False,False
DataSet_01_214,BCLAF1,True,GSE52990,RKO,shRNA,GPL570,-1.2932,True,8,True,1.0,0.875,0,0.07692308,0.07743362831858407,0.02654867256637168,default activation,0.020887728459530026,True,True,0.5274151436031331,False,False,0.6462140992167101,False,False,0.5496083550913838,False,False,0.020887728459530026,True,True,0.057441253263707574,True,False,0.2963446475195822,False,False
DataSet_02_112,BCLAF1,False,ENCSR481AYC,HepG2,shRNA,-,-0.91208,True,8,True,1.0,0.875,0,0.07692308,0.07743362831858407,0.02654867256637168,default activation,0.0783289817232376,True,False,0.13838120104438642,False,False,0.17754569190600522,False,False,0.12402088772845953,False,False,0.0783289817232376,True,False,0.5352480417754569,False,False,0.6109660574412533,False,False
DataSet_02_142,BCLAF1,False,ENCSR410ZPU,K562,shRNA,-,-0.57968,True,8,True,1.0,0.875,0,0.07692308,0.07743362831858407,0.02654867256637168,default activation,0.06788511749347259,True,False,0.11096605744125326,False,False,0.14360313315926893,False,False,0.11096605744125326,False,False,0.06788511749347259,True,False,0.40600522193211486,False,False,0.46344647519582244,False,False
DataSet_02_186,BHLHE40,False,ENCSR626SFM,K562,siRNA,-,-0.12051,True,40,True,-1.0,0.5,0,0.28070176,0.08830022075055188,0.03200883002207505,PMID,0.44386422976501305,False,False,0.4255874673629243,False,False,0.4699738903394256,False,False,0.42297650130548303,False,False,0.44386422976501305,False,False,0.9190600522193212,False,False,0.9216710182767625,False,False
DataSet_02_202,BRCA1,False,ENCSR205BWT,K562,siRNA,-,-0.39409,True,61,True,-1.0,0.3442622950819672,0,0.09243698,0.14806629834254142,0.08176795580110498,PMID,0.8328981723237598,False,False,0.8172323759791122,False,False,0.7545691906005222,False,False,0.8185378590078329,False,False,0.8315926892950392,False,False,0.006527415143603133,True,True,0.024804177545691905,True,True
DataSet_03_028,BRCA1,False,GSE31912,MCF7,siRNA,GPL570,-0.7290177,True,61,True,-1.0,0.3442622950819672,77,0.09243698,0.14806629834254142,0.08176795580110498,PMID,0.4046997389033943,False,False,0.25326370757180156,False,False,0.4177545691906005,False,False,0.2597911227154047,False,False,0.402088772845953,False,False,0.0013054830287206266,True,True,0.0039164490861618795,True,True
DataSet_01_119,BRD4,False,GSE39580,HEK293,shRNA,GPL6480,-0.06175,True,11,False,,0.9090909090909091,0,0.08,0.10386740331491713,0.04088397790055249,,0.46475195822454307,False,False,0.46475195822454307,False,False,0.31592689295039167,False,False,0.46475195822454307,False,False,0.46475195822454307,False,False,0.0835509138381201,True,False,0.08485639686684072,True,False
DataSet_01_311,BRD4,False,GSE78704,Ovcar8,siRNA,GPL570,-0.6449,True,11,False,,0.9090909090909091,0,0.08,0.10386740331491713,0.04088397790055249,,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.0013054830287206266,True,True,0.09399477806788512,True,False,0.09660574412532637,True,False
