exp,tf,study,cell,own_logfc,in_filtered_279,masked_frac,masked_sym_frac,base_rate10,base_rate10_sym,n_within_study_mates,n_same_cell_other_study_mates,in_106
DataSet_01_222,KLF9,GSE54699,HepG2,-2.95993,True,0.43733681462140994,0.4804177545691906,0.08057395143487858,0.09492273730684327,0,70,False
DataSet_01_223,FOXM1,GSE55204,MCF7,-3.69268,True,0.24673629242819844,0.42428198433420367,0.15350389321468297,0.12013348164627363,0,105,False
DataSet_01_224,HIF1A,GSE55212,HuH7,-1.95443,True,0.016971279373368148,0.016971279373368148,0.19577308120133483,0.19799777530589543,0,1,False
DataSet_01_225,SNAI2,GSE55269,Primary human keratinocytes,-0.46229,False,0.005221932114882507,0.02349869451697128,0.18121546961325966,0.17569060773480663,0,0,False
DataSet_01_226,KLF2,GSE55667,RPMI8226,-1.74897,True,0.5757180156657964,0.489556135770235,0.08066298342541436,0.0861878453038674,0,0,False
DataSet_01_227,IRX1,GSE55958,143B,0.9612,False,0.8629242819843342,0.881201044386423,0.10706401766004416,0.12472406181015452,0,0,False
DataSet_01_228,HIF1A,GSE56989,Primary human macrophages,-1.68165,True,0.005221932114882507,0.005221932114882507,0.19577308120133483,0.19799777530589543,0,0,False
DataSet_01_229,ESR2,GSE57379,BT549,-0.01667,False,0.9281984334203656,0.9007832898172323,0.08719646799116998,0.0728476821192053,0,3,False
DataSet_01_230,JUN,GSE57529,LP6,-0.37104,False,0.0195822454308094,0.014360313315926894,0.2335928809788654,0.22914349276974416,0,0,False
DataSet_01_231,MYC,GSE57538,Adipose stem cells,-0.24724,False,0.014360313315926894,0.015665796344647518,0.3741648106904232,0.3741648106904232,0,0,False
DataSet_01_232,ZEB1,GSE57660,HeLa229,0.0,False,0.0026109660574412533,0.007832898172323759,0.1997792494481236,0.17880794701986755,0,0,False
DataSet_01_233,FOXA1,GSE58309,LNCaP,-1.43603,True,0.1422976501305483,0.23368146214099217,0.1388888888888889,0.12333333333333334,1,32,True
DataSet_01_234,FOXP1,GSE58309,LNCaP,-0.72432,False,0.4725848563968668,0.3198433420365535,0.08657047724750278,0.10543840177580466,1,34,True
DataSet_01_236,FOXC2,GSE60152,Lymphatic endothelial cells,-0.5495,False,0.39295039164490864,0.3720626631853786,0.12693156732891833,0.1401766004415011,0,2,False
DataSet_01_237,MYC,GSE60558,HT1080,-0.93234,False,0.006527415143603133,0.006527415143603133,0.3741648106904232,0.3741648106904232,0,0,False
DataSet_01_238,NFYB,GSE61272,U2OS ER-HA-E2F1,-2.46407,True,0.08746736292428199,0.04177545691906005,0.06755260243632337,0.07087486157253599,0,0,False
DataSet_01_240,ARNT,GSE61842,hESC HSF1,-0.00907,False,0.758485639686684,0.6579634464751958,0.09966777408637874,0.09856035437430787,0,0,False
DataSet_01_241,TCF4,GSE62085,CTXOE03,-0.81309,False,0.9099216710182768,0.8838120104438643,0.0861878453038674,0.07734806629834254,0,0,False
DataSet_01_242,EGR2,GSE62090,A673,-0.2155,False,0.8785900783289817,0.6462140992167101,0.0861878453038674,0.09723756906077348,0,0,False
DataSet_01_243,EGR2,GSE62090,SK-N-MC,0.15428,False,0.9490861618798956,0.7467362924281984,0.0861878453038674,0.09723756906077348,0,1,False
DataSet_01_244,ETS1,GSE62135,ALLSIL,-2.27346,True,0.05613577023498695,0.04177545691906005,0.15725359911406422,0.15725359911406422,0,3,False
DataSet_01_245,RUNX1,GSE62140,ALLSIL,-0.79607,False,0.05352480417754569,0.022193211488250653,0.0757238307349666,0.08240534521158129,0,3,False
DataSet_01_246,TLX1,GSE62141,ALLSIL,-1.99088,True,0.95822454308094,0.8276762402088773,0.07845303867403315,0.05966850828729282,0,2,False
DataSet_01_247,GATA6,GSE62316,HT29,-1.15245,True,0.10443864229765012,0.06788511749347259,0.13178294573643412,0.15946843853820597,0,1,False
DataSet_01_248,SMAD2,GSE6242,Hep3B,-1.43249,True,0.17754569190600522,0.1514360313315927,0.10520487264673312,0.11074197120708748,2,2,True
DataSet_01_249,SMAD3,GSE6242,Hep3B,-0.84208,False,0.04699738903394256,0.04177545691906005,0.12375690607734807,0.11160220994475138,2,2,True
DataSet_01_250,SMAD4,GSE6242,Hep3B,-0.96317,False,0.14360313315926893,0.1370757180156658,0.1504424778761062,0.15597345132743362,2,2,True
DataSet_01_251,TAL1,GSE62634,HSPCs,-0.25618,False,0.3668407310704961,0.41383812010443866,0.0876803551609323,0.08324084350721421,0,0,False
DataSet_01_252,TWIST1,GSE62738,CAF14,-0.87531,False,0.10443864229765012,0.22845953002610966,0.08970099667774087,0.07973421926910298,0,0,False
DataSet_01_253,TWIST1,GSE62738,CAF32,-0.97437,False,0.304177545691906,0.2754569190600522,0.08970099667774087,0.07973421926910298,0,0,False
DataSet_01_254,TWIST1,GSE62740,CAF,-0.92484,False,0.17885117493472585,0.22323759791122716,0.08970099667774087,0.07973421926910298,0,0,False
DataSet_01_255,YBX1,GSE63562,MDA,-1.44835,True,0.6710182767624021,0.5652741514360313,0.10479375696767002,0.09810479375696766,0,0,False
DataSet_01_256,YBX1,GSE63562,MDA-LM2,-1.6777,True,0.12402088772845953,0.1031331592689295,0.10479375696767002,0.09810479375696766,0,1,False
DataSet_01_257,YBX1,GSE63563,MDA,-1.3417,True,0.7467362924281984,0.5130548302872062,0.10479375696767002,0.09810479375696766,0,0,False
DataSet_01_258,YBX1,GSE63564,MDA,-1.78501,True,0.2258485639686684,0.1801566579634465,0.10479375696767002,0.09810479375696766,0,0,False
DataSet_01_259,YBX1,GSE63565,MDA,0.0,False,0.8433420365535248,0.9804177545691906,0.10479375696767002,0.09810479375696766,0,0,False
DataSet_01_260,SOX4,GSE63957,MDA-MB231,-3.22029,True,0.17885117493472585,0.2206266318537859,0.07419712070874862,0.07198228128460686,0,7,False
DataSet_01_261,NFKB2,GSE64234,L-1236,-1.50026,True,0.2780678851174935,0.2010443864229765,0.1390728476821192,0.11810154525386314,0,0,False
DataSet_01_262,IRF4,GSE64269,BL2,-0.97619,False,0.8080939947780679,0.45691906005221933,0.07292817679558011,0.07734806629834254,0,1,False
DataSet_01_263,TLX1,GSE65496,ALLSIL,-0.53493,False,0.391644908616188,0.32114882506527415,0.07845303867403315,0.05966850828729282,0,2,False
DataSet_01_265,MEF2A,GSE65857,SPC04,-0.01976,False,0.19973890339425587,0.2010443864229765,0.0739514348785872,0.09823399558498896,1,0,False
DataSet_01_266,HES1,GSE65872,CUTLL1,0.7269,False,0.7441253263707572,0.8472584856396866,0.08388520971302428,0.09492273730684327,0,0,False
DataSet_01_267,FOXO3,GSE66404,PANC1,-1.83034,True,0.29765013054830286,0.25718015665796345,0.16997792494481237,0.16666666666666666,0,2,False
DataSet_01_268,OTX2,GSE66671,Neural precursor cells,-0.70495,False,0.06005221932114883,0.04308093994778068,0.13134657836644592,0.1445916114790287,0,0,False
DataSet_01_269,SIX4,GSE67327,PEO1,-3.3989,True,0.5718015665796344,0.5848563968668408,0.05187637969094923,0.0640176600441501,0,0,False
DataSet_01_270,FOXO1,GSE67390,HUVEC,-0.96386,False,0.01174934725848564,0.010443864229765013,0.11444444444444445,0.11,0,10,False
DataSet_01_271,SF1,GSE67524,OsisHESC,0.03327,False,0.0013054830287206266,0.0013054830287206266,0.036464088397790057,0.03867403314917127,0,0,False
DataSet_01_272,CREB1,GSE68413,JURKAT,0.03079,False,0.0926892950391645,0.1671018276762402,0.12777777777777777,0.13111111111111112,0,5,False
DataSet_01_273,CREB1,GSE68413,Molt4,0.27466,False,0.020887728459530026,0.0391644908616188,0.12777777777777777,0.13111111111111112,0,0,False
DataSet_01_274,CREB1,GSE68413,Nalm6,0.14128,False,0.5456919060052219,0.5248041775456919,0.12777777777777777,0.13111111111111112,0,1,False
DataSet_01_275,CREB1,GSE68413,RS4;11,0.0099,False,0.08877284595300261,0.0835509138381201,0.12777777777777777,0.13111111111111112,0,1,False
