exp,tf,masked_frac
DataSet_02_206,ZFX,0.4308093994778068
DataSet_03_004,AR,0.9503916449086162
DataSet_03_005,AR,0.8185378590078329
DataSet_03_007,AR,0.36945169712793735
DataSet_03_013,ARID1A,0.5052219321148825
DataSet_03_017,ATF3,0.6109660574412533
DataSet_03_018,ATF4,0.009138381201044387
DataSet_03_026,BCL6,0.0013054830287206266
DataSet_03_049,CEBPB,0.0013054830287206266
DataSet_03_056,CTCF,0.08746736292428199
DataSet_03_059,CTNNB1,0.7976501305483029
DataSet_03_060,E2F1,0.009138381201044387
DataSet_03_063,E2F7,0.7506527415143603
DataSet_03_065,EP300,0.5313315926892951
DataSet_03_073,ETS1,0.04177545691906005
DataSet_03_074,ETS1,0.05483028720626632
DataSet_03_075,ETV6,0.860313315926893
DataSet_03_078,FLI1,0.9882506527415144
DataSet_03_080,FOXA1,0.020887728459530026
DataSet_03_085,FOXD1,0.31462140992167104
DataSet_03_087,FOXF2,0.9242819843342036
DataSet_03_090,FOXM1,0.01174934725848564
DataSet_03_091,FOXM1,0.20365535248041775
DataSet_03_093,FOXM1,0.21018276762402088
DataSet_03_096,FOXO1,0.1227154046997389
DataSet_03_100,GATA2,0.08485639686684072
DataSet_03_108,GATA6,0.3289817232375979
DataSet_03_110,GATA6,0.013054830287206266
DataSet_03_113,GRHL3,0.19451697127937337
DataSet_03_114,HDAC3,0.7741514360313316
DataSet_03_116,HES6,0.3720626631853786
DataSet_03_117,HES6,0.2258485639686684
DataSet_03_119,HIF1A,0.11879895561357702
DataSet_03_122,HINFP,0.7467362924281984
DataSet_03_123,HINFP,0.6579634464751958
DataSet_03_124,HMGA1,0.06657963446475196
DataSet_03_127,HOXB7,0.4608355091383812
DataSet_03_129,HSF1,0.009138381201044387
DataSet_03_143,JUN,0.013054830287206266
DataSet_03_148,KLF5,0.01174934725848564
DataSet_03_149,KLF5,0.06135770234986945
DataSet_03_150,KLF5,0.6449086161879896
DataSet_03_151,KLF5,0.34203655352480417
DataSet_03_155,MAFB,0.1618798955613577
DataSet_03_165,MITF,0.009138381201044387
DataSet_03_168,MITF,0.07571801566579635
DataSet_03_173,MYB,0.08746736292428199
DataSet_03_178,MYC,0.0013054830287206266
DataSet_03_189,NCOA1,0.005221932114882507
DataSet_03_190,NCOA2,0.010443864229765013
DataSet_03_191,NCOA3,0.8746736292428199
DataSet_03_192,NCOR1,0.12924281984334204
DataSet_03_202,NR2F2,0.006527415143603133
DataSet_03_205,PARK7,0.4934725848563969
DataSet_03_207,PBX1,0.7101827676240209
DataSet_03_208,PBX1,0.6814621409921671
DataSet_03_209,PBX1,0.8263707571801566
DataSet_03_214,PPARG,0.0195822454308094
DataSet_03_217,PRRX1,0.7036553524804178
DataSet_03_222,RELA,0.015665796344647518
DataSet_03_223,RELA,0.006527415143603133
DataSet_03_225,RELB,0.22845953002610966
DataSet_03_228,REST,0.0013054830287206266
DataSet_03_229,SATB1,0.005221932114882507
DataSet_03_235,SMARCA4,0.9503916449086162
DataSet_03_236,SMARCC1,0.6932114882506527
DataSet_03_237,SOX11,0.20496083550913838
DataSet_03_238,SOX11,0.1866840731070496
DataSet_03_239,SOX11,0.0013054830287206266
DataSet_03_241,SOX2,0.43733681462140994
DataSet_03_242,SOX2,0.050913838120104436
DataSet_03_244,SOX2,0.009138381201044387
DataSet_03_246,SOX4,0.8746736292428199
DataSet_03_249,SP1,0.7702349869451697
DataSet_03_251,SP1,0.10835509138381201
DataSet_03_253,SPIB,0.35117493472584854
DataSet_03_255,SSRP1,0.5835509138381201
DataSet_03_256,STAT1,0.11488250652741515
DataSet_03_258,STAT3,0.04960835509138381
DataSet_03_259,STAT3,0.5613577023498695
DataSet_03_260,STAT3,0.7349869451697127
DataSet_03_261,STAT3,0.02741514360313316
DataSet_03_262,STAT3,0.9751958224543081
DataSet_03_264,STAT6,0.9321148825065274
DataSet_03_267,TCF7L1,0.06657963446475196
DataSet_03_274,TFAP2C,0.10052219321148825
DataSet_03_275,TFE3,0.0926892950391645
DataSet_03_277,TP53,0.29112271540469975
DataSet_03_284,TWIST2,0.19451697127937337
DataSet_03_287,ZHX2,0.31201044386422977
DataSet_04_015,NKRF,0.206266318537859
DataSet_04_019,SMAD2,0.9543080939947781
DataSet_04_020,SMAD4,0.3368146214099217
DataSet_04_022,STAT1,0.8707571801566579
DataSet_04_024,YBX1,0.5678851174934726
DataSet_04_036,SMAD2,0.5861618798955613
DataSet_04_037,SMAD4,0.13577023498694518
DataSet_04_041,YBX1,0.07049608355091384
