exp,tf,ulm_frac,huber_frac,huber_weight_own_gene
DataSet_03_237,SOX11,0.20496083550913838,0.1475195822454308,0.16236058624665128
DataSet_03_238,SOX11,0.1866840731070496,0.15013054830287206,0.1419915372401859
DataSet_03_239,SOX11,0.0013054830287206266,0.020887728459530026,0.051419192210846884
DataSet_03_241,SOX2,0.23368146214099217,0.24281984334203655,0.0781555360270893
DataSet_03_242,SOX2,0.024804177545691905,0.006527415143603133,0.06031761435033092
DataSet_03_244,SOX2,0.006527415143603133,0.1122715404699739,0.06277529925964301
DataSet_03_246,SOX4,0.8302872062663186,0.9073107049608355,0.36191953416804584
DataSet_03_249,SP1,0.737597911227154,0.4112271540469974,0.15186181423457734
DataSet_03_251,SP1,0.10052219321148825,0.19712793733681463,0.10520970761579372
DataSet_03_253,SPIB,0.016971279373368148,0.7140992167101827,0.059275203856005855
DataSet_03_255,SSRP1,0.5848563968668408,0.30156657963446476,0.02574892352538655
DataSet_03_256,STAT1,0.06919060052219321,0.20234986945169714,0.10893354467883212
DataSet_03_258,STAT3,0.048302872062663184,0.04699738903394256,0.63563491715744
DataSet_03_259,STAT3,0.4451697127937337,0.39033942558746737,0.09305617130656943
DataSet_03_260,STAT3,0.6422976501305483,0.9490861618798956,0.08908242193345585
DataSet_03_261,STAT3,0.010443864229765013,0.033942558746736295,0.050734574096084235
