exp,tf,self_edge_weight,has_self_edge,sign,regulon_size,type_p,ulm,no_self-edge,masked
DataSet_01_337,REST,0.0,False,none,73,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_338,REST,0.0,False,none,73,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_339,KLF4,1.0,True,+1,128,-1,0.8133159268929504,0.8759791122715405,0.8746736292428199
DataSet_01_340,KLF7,1.0,True,+1,11,-1,0.4556135770234987,0.7819843342036553,0.7872062663185379
DataSet_01_342,KLF7,1.0,True,+1,11,-1,0.05613577023498695,0.47911227154047,0.4830287206266319
DataSet_01_347,GATA3,1.0,True,+1,182,-1,0.7571801566579635,0.8133159268929504,0.8067885117493473
DataSet_01_348,HIF1A,-1.0,True,-1,447,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_01_349,SOX2,1.0,True,+1,88,-1,0.006527415143603133,0.010443864229765013,0.013054830287206266
DataSet_01_354,ELK1,0.0,False,none,58,-1,0.5248041775456919,0.5248041775456919,0.5248041775456919
DataSet_01_356,ETV4,1.0,True,+1,62,-1,0.8368146214099217,0.9138381201044387,0.9138381201044387
DataSet_01_357,CDX2,1.0,True,+1,77,-1,0.6879895561357703,0.7480417754569191,0.7493472584856397
DataSet_01_360,SOX17,1.0,True,+1,45,-1,0.2154046997389034,0.3342036553524804,0.3328981723237598
DataSet_02_015,HOXB9,0.0,False,none,6,-1,0.19973890339425587,0.19973890339425587,0.19973890339425587
DataSet_02_016,JUND,1.0,True,+1,104,-1,0.018276762402088774,0.024804177545691905,0.024804177545691905
DataSet_02_018,STAT2,0.0,False,none,49,-1,0.07571801566579635,0.07571801566579635,0.07571801566579635
DataSet_02_023,STAT1,1.0,True,+1,294,-1,0.8955613577023499,0.9151436031331592,0.9151436031331592
DataSet_02_025,USF2,1.0,True,+1,112,-1,0.8681462140992167,0.8942558746736292,0.8877284595300261
DataSet_02_026,USF1,1.0,True,+1,221,-1,0.7702349869451697,0.8120104438642297,0.8120104438642297
DataSet_02_032,NFE2L1,1.0,True,+1,9,-1,0.015665796344647518,0.028720626631853787,0.030026109660574413
DataSet_02_033,TEAD2,0.0,False,none,6,-1,0.8002610966057441,0.8002610966057441,0.8002610966057441
DataSet_02_039,RELA,1.0,True,+1,540,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_02_040,TEAD4,0.0,False,none,11,-1,0.741514360313316,0.741514360313316,0.741514360313316
DataSet_02_042,SP2,0.0,False,none,22,-1,0.5600522193211488,0.5600522193211488,0.5600522193211488
DataSet_02_048,SMAD5,0.0,False,none,35,-1,0.006527415143603133,0.006527415143603133,0.006527415143603133
DataSet_02_054,ATF3,-1.0,True,-1,108,-1,0.46866840731070497,0.39033942558746737,0.38511749347258484
DataSet_02_055,DLX1,0.0,False,none,10,-1,0.6971279373368147,0.6971279373368147,0.6971279373368147
DataSet_02_061,RFX5,1.0,True,+1,24,-1,0.5195822454308094,0.660574412532637,0.664490861618799
DataSet_02_063,TRIM28,0.0,False,none,6,-1,0.5731070496083551,0.5731070496083551,0.5704960835509139
DataSet_02_071,TFDP1,0.0,False,none,31,-1,0.8929503916449086,0.8929503916449086,0.8929503916449086
DataSet_02_075,HMGA1,1.0,True,+1,73,-1,0.7480417754569191,0.8289817232375979,0.8263707571801566
DataSet_02_082,ZBTB33,0.0,False,none,11,-1,0.21801566579634465,0.21801566579634465,0.21801566579634465
DataSet_02_104,HDGF,0.0,False,none,7,-1,0.3133159268929504,0.3133159268929504,0.3133159268929504
DataSet_02_172,ZFX,0.0,False,none,5,-1,0.7180156657963447,0.7180156657963447,0.7180156657963447
DataSet_02_185,CTCF,1.0,True,+1,137,-1,0.8720626631853786,0.8955613577023499,0.8942558746736292
DataSet_02_192,MAX,1.0,True,+1,49,-1,0.2989556135770235,0.38903394255874674,0.3877284595300261
DataSet_02_206,ZFX,0.0,False,none,5,-1,0.42950391644908614,0.42950391644908614,0.4308093994778068
DataSet_03_004,AR,1.0,True,+1,493,-1,0.9360313315926893,0.9477806788511749,0.9503916449086162
DataSet_03_005,AR,1.0,True,+1,493,-1,0.7767624020887729,0.8159268929503917,0.8185378590078329
DataSet_03_007,AR,1.0,True,+1,493,-1,0.26240208877284593,0.39033942558746737,0.36945169712793735
DataSet_03_013,ARID1A,0.0,False,none,8,-1,0.5052219321148825,0.5052219321148825,0.5052219321148825
DataSet_03_017,ATF3,-1.0,True,-1,108,-1,0.8159268929503917,0.6161879895561357,0.6109660574412533
DataSet_03_018,ATF4,1.0,True,+1,121,-1,0.006527415143603133,0.009138381201044387,0.009138381201044387
DataSet_03_026,BCL6,-1.0,True,-1,99,-1,0.0026109660574412533,0.0013054830287206266,0.0013054830287206266
DataSet_03_049,CEBPB,1.0,True,+1,444,-1,0.0013054830287206266,0.0013054830287206266,0.0013054830287206266
DataSet_03_056,CTCF,1.0,True,+1,137,-1,0.013054830287206266,0.09007832898172324,0.08746736292428199
DataSet_03_059,CTNNB1,-1.0,True,-1,331,-1,0.9516971279373369,0.783289817232376,0.7976501305483029
DataSet_03_060,E2F1,1.0,True,+1,306,-1,0.010443864229765013,0.022193211488250653,0.009138381201044387
DataSet_03_063,E2F7,0.0,False,none,7,-1,0.7506527415143603,0.7506527415143603,0.7506527415143603
DataSet_03_065,EP300,0.0,False,none,73,-1,0.5391644908616188,0.5391644908616188,0.5313315926892951
DataSet_03_073,ETS1,1.0,True,+1,206,-1,0.02741514360313316,0.04046997389033943,0.04177545691906005
DataSet_03_074,ETS1,1.0,True,+1,206,-1,0.033942558746736295,0.05483028720626632,0.05483028720626632
DataSet_03_075,ETV6,0.0,False,none,27,-1,0.8590078328981723,0.8590078328981723,0.860313315926893
DataSet_03_078,FLI1,1.0,True,+1,93,-1,0.9817232375979112,0.9882506527415144,0.9882506527415144
DataSet_03_080,FOXA1,0.0,False,none,69,-1,0.020887728459530026,0.020887728459530026,0.020887728459530026
DataSet_03_085,FOXD1,0.0,False,none,6,-1,0.31723237597911225,0.31723237597911225,0.31462140992167104
DataSet_03_087,FOXF2,0.0,False,none,12,-1,0.9242819843342036,0.9242819843342036,0.9242819843342036
DataSet_03_090,FOXM1,1.0,True,+1,97,-1,0.009138381201044387,0.01174934725848564,0.01174934725848564
DataSet_03_091,FOXM1,1.0,True,+1,97,-1,0.04960835509138381,0.20757180156657964,0.20365535248041775
DataSet_03_093,FOXM1,1.0,True,+1,97,-1,0.020887728459530026,0.21409921671018275,0.21018276762402088
DataSet_03_096,FOXO1,1.0,True,+1,265,-1,0.08877284595300261,0.12140992167101827,0.1227154046997389
DataSet_03_100,GATA2,1.0,True,+1,97,-1,0.05483028720626632,0.08485639686684072,0.08485639686684072
DataSet_03_108,GATA6,1.0,True,+1,84,-1,0.2689295039164491,0.3328981723237598,0.3289817232375979
DataSet_03_110,GATA6,1.0,True,+1,84,-1,0.006527415143603133,0.013054830287206266,0.013054830287206266
DataSet_03_113,GRHL3,0.0,False,none,28,-1,0.195822454308094,0.195822454308094,0.19451697127937337
DataSet_03_114,HDAC3,0.0,False,none,27,-1,0.7741514360313316,0.7741514360313316,0.7741514360313316
DataSet_03_116,HES6,0.0,False,none,9,-1,0.37467362924281983,0.37467362924281983,0.3720626631853786
DataSet_03_117,HES6,0.0,False,none,9,-1,0.22845953002610966,0.22845953002610966,0.2258485639686684
DataSet_03_119,HIF1A,-1.0,True,-1,447,-1,0.18407310704960836,0.12663185378590078,0.11879895561357702
DataSet_03_122,HINFP,1.0,True,+1,10,-1,0.27284595300261094,0.7493472584856397,0.7467362924281984
DataSet_03_123,HINFP,1.0,True,+1,10,-1,0.13185378590078328,0.6684073107049608,0.6579634464751958
DataSet_03_124,HMGA1,1.0,True,+1,73,-1,0.031331592689295036,0.06527415143603134,0.06657963446475196
DataSet_03_127,HOXB7,0.0,False,none,23,-1,0.4621409921671018,0.4621409921671018,0.4608355091383812
DataSet_03_129,HSF1,1.0,True,+1,98,-1,0.0039164490861618795,0.009138381201044387,0.009138381201044387
DataSet_03_143,JUN,1.0,True,+1,637,-1,0.013054830287206266,0.0195822454308094,0.013054830287206266
DataSet_03_148,KLF5,1.0,True,+1,76,-1,0.0026109660574412533,0.010443864229765013,0.01174934725848564
